ReportDate,Currency in circulation -Total ,`Other' deposits with RBI ,Bankers' deposits with RBI ,Reserve Money (Liabilities/Components) ,RBI's Claims on - Government (net),RBI's Claims on - Central Govt,RBI's Claims on Banks & Commercial sector,RBI's Claims on Banks (Including NABARD),RBI's claims on Commercial sector (Excluding NABARD) ,Net foreign exchange assets of RBI ,Govt't currency liabilities to the public ,Net non-monetary liabilities of RBI 
21-Aug-20,2688322,39769,464794,3192884,994754,988987,-346453,-358066,11613,4007883,26315,1489614
14-Aug-20,2691706,39543,470719,3201967,979844,969138,-310131,-321744,11613,3993710,26315,1487770
07-Aug-20,2686070,39755,461436,3187260,1075013,1065083,-360149,-371737,11588,4017184,26315,1571102
31-Jul-20,2672446,39707,469087,3181239,1078662,1073847,-359983,-371571,11588,3983510,26315,1547264
24-Jul-20,2670987,39207,465767,3175960,1016187,1010579,-254380,-265960,11580,3896503,26315,1508664
17-Jul-20,2675760,39276,467884,3182919,1077033,1066981,-296169,-307996,11827,3869002,26315,1493261
10-Jul-20,2677781,39728,457976,3175485,1123835,1113525,-345325,-357173,11848,3869284,26315,1498624
03-Jul-20,2665329,40178,474279,3179786,1181017,1174056,-385766,-397614,11848,3813341,26315,1455121
26-Jun-20,2660382,39296,463901,3163578,1134432,1131059,-313127,-322330,9203,3811722,26315,1495763
19-Jun-20,2660533,38716,484463,3183711,1123896,1119275,-282212,-289399,7187,3830714,26315,1515001
12-Jun-20,2658733,39199,456516,3154447,1163168,1156695,-351494,-359443,7949,3824565,26315,1508106
05-Jun-20,2639322,46943,478833,3165097,1183545,1174782,-329644,-336440,6796,3770918,26315,1486036
29-May-20,2616468,46136,468973,3131576,1179922,1172777,-322288,-329604,7316,3708976,26315,1461348
22-May-20,2611076,41528,468214,3120817,1266000,1259291,-412016,-417696,5680,3700162,26315,1459643
15-May-20,2588918,38905,467495,3095317,1307797,1302024,-468321,-471657,3336,3665026,26315,1435499
08-May-20,2569559,38273,457590,3065421,1313672,1308132,-492475,-500294,7819,3652410,26315,1434500
01-May-20,2535134,44722,486339,3066194,1314023,1310242,-465023,-471497,6474,3605611,26315,1414731
24-Apr-20,2522926,39570,457178,3019674,1214517,1213497,-426396,-432522,6126,3661602,26315,1456364
17-Apr-20,2506266,38892,470869,3016027,1211995,1211209,-426925,-433991,7066,3658405,26315,1453763
10-Apr-20,2486897,39426,435745,2962068,1171048,1170729,-437806,-445418,7612,3630737,26315,1428226
03-Apr-20,2457025,38043,477843,2972911,1088018,1085232,-344726,-357239,12513,3602983,26315,1399679
31-Mar-20,2447279,38507,543888,3029674,992192,989741,-200893,-214059,13166,3590402,26315,1378342
27-Mar-20,2439308,38177,579875,3057360,1094134,1092210,-264351,-275964,11613,3545933,26315,1344671
20-Mar-20,2409593,37424,633339,3080356,996015,993718,-164643,-168992,4349,3518215,26315,1295546
13-Mar-20,2399983,36175,592829,3028987,1023925,1017813,-264881,-268611,3730,3552965,26315,1309337
06-Mar-20,2374163,36767,612053,3022983,1037411,1030214,-284481,-288260,3779,3587214,26315,1343476
28-Feb-20,2348239,34558,591504,2974301,990539,987699,-300843,-304622,3779,3473169,26315,1214879
21-Feb-20,2357702,33439,586330,2977471,934452,933267,-228596,-233023,4427,3408531,26280,1163196
14-Feb-20,2346696,33427,597724,2977847,997547,989188,-289581,-293691,4110,3396371,26280,1152770
07-Feb-20,2337525,33447,573077,2944049,1015557,1005672,-313262,-319642,6380,3369143,26280,1153669
31-Jan-20,2310975,33856,592254,2937085,1057037,1055869,-338920,-345300,6380,3351074,26280,1158386
24-Jan-20,2307200,33956,581959,2923115,1009271,1006079,-278112,-284126,6014,3315932,26238,1150214
17-Jan-20,2304652,33194,588344,2926190,1070018,1062561,-303718,-309954,6236,3271573,26238,1137921
10-Jan-20,2297761,33000,580497,2911258,1068159,1060612,-315583,-321794,6211,3259844,26238,1127400
03-Jan-20,2268909,33663,583847,2886419,1135209,1129947,-405062,-411335,6273,3298419,26238,1168385
27-Dec-19,2270344,32669,581929,2884942,989412,987342,-239481,-245924,6443,3252164,26238,1143391
20-Dec-19,2272066,33979,603702,2909747,979921,978707,-196095,-202797,6702,3222839,26178,1123096
13-Dec-19,2284891,31776,568922,2885589,1044279,1033712,-275779,-282176,6397,3207160,26178,1116249
06-Dec-19,2275103,32359,578361,2885823,1064368,1055339,-294469,-301363,6894,3222663,26178,1132917
29-Nov-19,2256875,35526,581895,2874296,1001249,1000030,-240478,-247355,6877,3222285,26178,1134938
22-Nov-19,2267385,32312,555408,2855104,965438,964882,-206590,-213734,7144,3207225,26123,1137091
15-Nov-19,2269253,31382,575770,2876404,1030442,1022854,-250427,-257808,7381,3208493,26123,1138226
08-Nov-19,2271742,31872,564056,2867669,1010459,1002078,-238983,-246333,7350,3175642,26123,1105571
01-Nov-19,2257789,31774,578304,2867866,1061602,1057618,-263815,-271081,7266,3149078,26123,1105121
25-Oct-19,2257135,31212,587853,2876200,966959,966332,-149274,-156954,7680,3126960,26045,1094490
18-Oct-19,2226264,31652,602990,2860906,975782,967596,-160395,-168075,7680,3125464,26045,1105990
11-Oct-19,2226618,32847,566023,2825488,998186,993049,-213910,-221522,7612,3111005,26045,1095838
04-Oct-19,2205847,34949,592354,2833150,1046981,1039137,-244352,-252282,7930,3093900,26045,1089424
27-Sep-19,2186148,31981,570065,2788194,936889,936472,-156820,-164923,8103,3048039,26024,1065938
20-Sep-19,2184855,31666,587789,2804310,862140,862118,-30409,-38454,8045,3033587,26024,1087032
13-Sep-19,2202768,30564,557330,2790662,961164,959745,-143224,-150861,7637,3031930,26024,1085232
06-Sep-19,2191612,30909,565024,2787545,976074,975695,-160983,-168528,7545,3062666,26024,1116236
30-Aug-19,2176383,30982,575794,2783158,934922,934358,-122561,-130158,7597,3050903,26001,1106106
23-Aug-19,2188501,30838,556860,2776198,1044878,1044617,-101892,-109748,7856,3065400,26001,1258188
16-Aug-19,2198900,30520,568915,2798334,1089465,1087908,-127456,-135261,7805,3047788,26001,1237463
09-Aug-19,2194302,30548,547573,2772422,1089146,1085236,-158367,-166172,7805,3032149,26001,1216506
02-Aug-19,2170944,30469,555627,2757039,1118383,1115595,-212935,-220744,7809,2970775,26001,1145184
26-Jul-19,2175537,30015,562936,2768488,1023783,1022930,-124047,-131846,7799,2951066,25984,1108298
19-Jul-19,2187510,36009,570316,2793835,1054649,1051551,-128465,-136416,7951,2949795,25984,1108128
12-Jul-19,2205020,35788,546675,2787483,1071685,1064734,-151587,-159638,8051,2935313,25984,1093912
05-Jul-19,2197609,36633,546649,2780891,1062946,1057423,-150781,-158276,7495,2934507,25984,1091765
